name,measure,unit,grams,calories,protein,carbs,fiber,fat,sat_fat
"Persimmons, Japanese",1,piece,125,75.00,1.00,20.00,2.00,0.00,0.00
"Pie, apple, 9 inch diam. pie",1,slice,135,330.00,3.00,53.00,0.10,13.00,11.00
"Pie, Cherry",1,slice,135,340.00,3.00,55.00,0.10,13.00,11.00
"Pie, Custard",1,slice,130,265.00,7.00,34.00,0.00,11.00,10.00
"Pie, Lemon meringue",1,slice,120,300.00,4.00,45.00,0.10,12.00,10.00
"Pie, Mince",1,slice,135,340.00,3.00,62.00,0.70,9.00,8.00
"Pie, Pumpkin",1,slice,130,265.00,5.00,34.00,8.00,12.00,11.00
"Pineapple juice, canned",0.5,cup,125,60.00,0.50,16.00,0.10,0.00,0.00
"Pineapple, canned, sliced",1,slice,122,95.00,0.00,26.00,0.40,0.00,0.00
"Pizza, cheese, 1/8 of 14 inch diam.",1,slice,75,180.00,8.00,23.00,0.00,6.00,5.00
"Plain, with no icing",1,slice,55,180.00,4.00,31.00,0.00,5.00,4.00
"Plums, canned in syrup",0.5,cup,128,92.50,0.50,25.00,0.35,0.00,0.00
"Plums, Raw, 2 inch diameter",1,piece,60,15.00,0.00,7.00,0.20,0.00,0.00
"Popcorn, with oil and salt",0.5,cup,7,38.00,0.75,5.00,0.13,1.75,0.50
Pork roast,1,piece,112,408.47,27.68,0.00,0.00,31.60,27.68
"Pork sausage, bulk",1,piece,112,532.00,20.16,0.00,0.00,49.28,44.80
"Pork, chop, 1 thick",1,piece,112,291.20,17.92,0.00,0.00,23.52,20.16
"Pot-pie, 4 1/2 inch diameter",1,piece,227,480.00,18.00,32.00,0.00,28.00,25.00
"Potatoes, baked",1,piece,100,100.00,2.00,22.00,0.50,0.00,0.00
"Potatoes, pan-tried",0.5,cup,66.67,178.68,2.67,22.00,0.27,9.33,4.00
"Powdered milk, skim, instant",0.5,cup,56.5,192.76,20.00,28.00,0.00,0.00,0.00
"Powdered milk, whole",0.5,cup,51.5,257.50,13.50,19.50,0.00,14.00,12.00
Processed cheese,0.5,cup,56,210.00,14.00,0.00,0.00,18.00,16.00
"Prune juice, canned",0.5,cup,120,85.00,0.50,22.50,0.35,0.00,0.00
"Prunes, cooked",0.5,cup,135,150.00,1.50,40.50,0.40,0.50,0.00
Puffed rice,0.5,cup,7,27.50,0.00,6.00,0.00,0.00,0.00
"Radishes, raw",1,piece,10,2.00,0.00,0.40,0.06,0.00,0.00
"Raisins, dried",0.5,cup,88,230.00,2.00,82.00,0.70,0.00,0.00
"Raspberries, frozen",0.5,cup,100,100.00,0.00,25.00,2.00,0.00,0.00
"Raspberries, Raw, red",0.5,cup,66.67,38.00,0.00,9.33,3.33,0.00,0.00
"Raw, grated",0.5,cup,55,22.50,0.50,5.00,0.60,0.00,0.00
"Raw, green, sweet peppers",1,piece,100,25.00,1.00,6.00,1.40,0.00,0.00
"Red kidney, canned",0.5,cup,130,115.00,7.50,21.00,1.25,0.50,0.00
"Rhubarb, cooked, sweetened",0.5,cup,135,192.50,0.50,49.00,0.95,0.00,0.00
Rice flakes,0.5,cup,15,57.50,1.00,13.00,0.05,0.00,0.00
Rice polish,0.5,cup,50,132.00,6.00,28.00,1.20,6.00,0.00
"Rice, uncooked, brown",0.5,cup,104,374.00,7.50,77.00,0.60,1.50,0.00
"Rice, White",0.5,cup,95.5,346.00,7.00,75.00,0.15,0.00,0.00
"Ripe, canned, large",1,piece,6.5,10.50,0.10,0.10,0.10,1.30,1.20
"Roast beef, oven-cooked",1,tablespoon,14,64.24,2.64,0.00,0.00,5.93,5.76
roasted and salted,0.5,cup,70,439.00,13.00,13.00,1.80,40.00,31.00
"Rolls, breakfast, sweet",1,piece,50,411.00,3.00,23.00,0.10,12.00,11.00
"Rolls, of refined flour",1,piece,38,115.00,3.00,20.00,0.00,2.00,2.00
"Rolls, whole-wheat",1,piece,40,102.00,4.00,20.00,0.10,1.00,0.00
Root beer,0.5,cup,120,48.55,0.00,12.14,0.00,0.00,0.00
Roquefort type,0.5,cup,56,210.00,12.00,0.00,0.00,18.00,16.00
"Safflower, sunflower oil",1,tablespoon,14,125.00,0.00,0.00,0.00,14.00,3.00
"Salmon, canned",1,piece,112,158.12,22.40,0.00,0.00,6.56,1.28
"Sardines, canned",1,piece,112,237.18,28.96,0.00,0.00,11.84,5.28
"Sauerkraut, canned",0.5,cup,75,16.00,0.50,3.50,0.60,0.00,0.00
Scalloped with cheese,0.5,cup,66.67,96.67,4.00,9.33,0.27,5.33,4.67
"Scallops, breaded, fried",1,piece,112,116.48,20.16,11.20,0.00,8.96,0.00
"Sesame seeds, dry",0.5,cup,50,280.00,9.00,10.00,3.10,24.00,13.00
"Shad, baked",1,piece,112,224.00,26.32,0.00,0.00,13.20,0.00
Shredded wheat biscuit,1,piece,28,100.00,3.00,23.00,0.70,1.00,0.00
"Shrimp, steamed",1,piece,112,144.94,30.32,0.00,0.00,1.28,0.00
"Soybeans, unseasoned",0.5,cup,100,130.00,11.00,10.00,1.60,5.50,0.00
Spaghetti with meat sauce,0.5,cup,125,142.50,6.50,17.50,0.25,5.00,3.00
"Spaghetti, with tomatoes and cheese",0.5,cup,125,105.00,3.00,18.00,0.25,2.50,1.50
Spanish rice with meat,0.5,cup,125,108.50,2.00,20.00,0.60,2.00,0.00
"Spinach, steamed",0.5,cup,50,13.00,1.50,1.50,0.50,0.00,0.00
Split peas cooked,0.5,cup,12.5,14.38,1.00,2.63,0.05,0.00,0.00
Split-pea soup (lentil),0.5,cup,125,73.50,4.00,12.50,0.25,1.50,1.50
"Sponge cake, no icing",1,slice,40,115.00,3.00,22.00,0.00,2.00,2.00
"Squash, summer",0.5,cup,105,17.50,0.50,4.00,0.30,0.00,0.00
"Squash, Winter, mashed",0.5,cup,100,47.50,2.00,11.50,1.30,0.00,0.00
Stalk raw,1,piece,40,5.00,1.00,1.00,0.30,0.00,0.00
"Steak, as sirloin",1,tablespoon,14,54.35,3.29,0.00,0.00,4.45,4.12
"Steak, lean, as round",1,tablespoon,14,36.24,3.95,0.00,0.00,1.98,1.81
Steamed cabbage,0.5,cup,85,20.00,1.00,4.50,0.65,0.00,0.00
"Stew, with vegetables",0.5,cup,117.5,92.50,7.50,7.50,0.00,5.00,4.50
"Strawberries, frozen",0.5,cup,113.5,121.00,0.50,30.00,0.65,0.00,0.00
"Strawberries, Raw",0.5,cup,74.5,27.00,0.00,6.00,0.95,0.00,0.00
"Strips, from raw",1,piece,50,20.00,0.00,5.00,0.50,0.00,0.00
Stuffed peppers with beef and crumbs,1,piece,150,255.00,19.00,24.00,1.00,9.00,8.00
"Sugar, beet or cane",0.5,cup,100,385.00,0.00,99.50,0.00,0.00,0.00
"Sugar, Brown, firm-packed, dark",0.5,cup,110,407.50,0.00,105.00,0.00,0.00,0.00
Sunflower seeds,0.5,cup,50,280.00,12.00,10.00,1.90,26.00,7.00
"Sweet potatoes, baked",1,piece,110,155.00,2.00,36.00,1.00,1.00,0.00
"Sweet potatoes, Candied",1,piece,175,235.00,2.00,80.00,1.50,6.00,5.00
Swiss,0.5,cup,56,210.00,14.00,0.00,0.00,16.00,14.00
"Swordfish, broiled",1,piece,100,180.00,27.00,0.00,0.00,6.00,0.00
"Syrup, maple",1,tablespoon,20,50.00,0.00,12.50,0.00,0.00,0.00
"Tangerines, fresh",1,piece,114,40.00,1.00,10.00,1.00,0.00,0.00
Tapioca cream pudding,0.5,cup,125,167.50,5.00,21.00,0.00,5.00,4.50
"Tea, clear, unsweetened",0.5,cup,115,2.00,0.00,0.50,0.00,0.00,0.00
Thousand Island salad dressing,1,tablespoon,15,75.00,0.00,1.00,0.00,8.00,3.00
Tomato catsup,1,tablespoon,17,15.00,0.00,4.00,0.00,0.00,0.00
"Tomato juice, canned",0.5,cup,120,25.00,1.00,5.00,0.30,0.00,0.00
"Tomato soup, diluted w/milk",0.5,cup,122.5,87.50,3.00,11.00,0.25,3.50,3.00
"Tomatoes, canned whole",0.5,cup,120,25.00,1.00,4.50,0.50,0.00,0.00
"Tomatoes, Raw, 2 by 2 1/2",1,piece,150,30.00,1.00,6.00,0.60,0.00,0.00
"Tuna, canned, drained",1,piece,85,170.00,4.12,0.00,0.00,1.15,0.49
"Turkey, roasted",1,piece,112,296.80,30.24,0.00,0.00,16.80,0.00
"Turnip greens, steamed",0.5,cup,72.5,22.50,2.00,4.00,0.90,0.50,0.00
"Turnips, steamed, sliced",0.5,cup,77.5,20.00,0.50,4.50,0.90,0.00,0.00
"Veal, cutlet, broiled",1,piece,112,243.76,30.32,0.00,0.00,11.84,10.56
"Veal, Roast",1,piece,112,401.88,17.12,0.00,0.00,18.48,17.12
Vegetable (vegetarian) soup,0.5,cup,125,40.00,2.00,7.00,0.00,1.00,1.00
"Waffles, 1/2 x 4 1/2 x 5 1/2 inch",1,piece,75,240.00,8.00,30.00,0.10,9.00,1.00
"Walnuts, English, raw",0.5,cup,50,325.00,7.00,8.00,1.00,32.00,7.00
"Watercress, leaves and stems, raw",0.5,cup,25,4.50,0.50,0.50,0.15,0.00,0.00
"Watermelon, 4 by 8 inch",1,slice,925,120.00,2.00,29.00,3.60,1.00,0.00
Wine Table (12.2% alcohol),0.5,cup,120,150.00,0.00,5.00,0.00,0.00,0.00
Wines Dessert (8.8% alcohol),0.5,cup,120,164.00,0.00,9.00,0.00,0.00,0.00
"Yogurt, of partially skim. milk",0.5,cup,125,64.00,9.00,6.50,0.50,2.00,1.50
